year,sex,name,n,prop
2008,M,ADAM,433,1.82
2009,M,ADAM,407,1.72
2010,M,ADAM,386,1.7
2011,M,ADAM,378,1.69
2012,M,ADAM,476,2.13
2013,M,ADAM,436,2.01
2014,M,ADAM,422,2.06
2015,M,ADAM,431,2.15
2016,M,ADAM,429,2.22
2017,M,ADAM,389,2.26
2018,M,ADAM,392,2.35
2019,M,ADAM,390,2.42
2008,M,ALEX,235,0.99
2009,M,ALEX,257,1.08
2010,M,ALEX,203,0.89
2011,M,ALEX,191,0.86
2012,M,ALEX,162,0.72
2013,M,ALEX,181,0.84
2014,M,ALEX,160,0.78
2015,M,ALEX,156,0.78
2016,M,ALEX,131,0.68
2017,M,ALEX,123,0.71
2018,M,ALEX,100,0.6
2019,M,ALEX,94,0.58
2008,M,ALEXANDER,98,0.41
2009,M,ALEXANDER,90,0.38
2010,M,ALEXANDER,84,0.37
2011,M,ALEXANDER,84,0.38
2012,M,ALEXANDER,69,0.31
2013,M,ALEXANDER,91,0.42
2014,M,ALEXANDER,90,0.44
2015,M,ALEXANDER,90,0.45
2016,M,ALEXANDER,76,0.39
2017,M,ALEXANDER,65,0.38
2018,M,ALEXANDER,75,0.45
2019,M,ALEXANDER,60,0.37
2008,M,ALEXANDRE,537,2.26
2009,M,ALEXANDRE,480,2.03
2010,M,ALEXANDRE,431,1.89
2011,M,ALEXANDRE,384,1.72
2012,M,ALEXANDRE,354,1.58
2013,M,ALEXANDRE,321,1.48
2014,M,ALEXANDRE,290,1.41
2015,M,ALEXANDRE,265,1.32
2016,M,ALEXANDRE,205,1.06
2017,M,ALEXANDRE,187,1.08
2018,M,ALEXANDRE,157,0.94
2019,M,ALEXANDRE,119,0.74
2008,M,ALEXIS,744,3.12
2009,M,ALEXIS,767,3.24
2010,M,ALEXIS,721,3.17
2011,M,ALEXIS,781,3.5
2012,M,ALEXIS,754,3.37
2013,M,ALEXIS,708,3.27
2014,M,ALEXIS,600,2.93
2015,M,ALEXIS,556,2.77
2016,M,ALEXIS,535,2.77
2017,M,ALEXIS,462,2.68
2018,M,ALEXIS,443,2.66
2019,M,ALEXIS,411,2.55
2008,M,ANDREW,86,0.36
2009,M,ANDREW,70,0.3
2010,M,ANDREW,66,0.29
2011,M,ANDREW,65,0.29
2012,M,ANDREW,72,0.32
2013,M,ANDREW,64,0.3
2014,M,ANDREW,59,0.29
2015,M,ANDREW,57,0.28
2016,M,ANDREW,55,0.29
2017,M,ANDREW,46,0.27
2018,M,ANDREW,44,0.26
2019,M,ANDREW,63,0.39
2008,M,ANTHONY,479,2.01
2009,M,ANTHONY,419,1.77
2010,M,ANTHONY,381,1.67
2011,M,ANTHONY,348,1.56
2012,M,ANTHONY,300,1.34
2013,M,ANTHONY,314,1.45
2014,M,ANTHONY,293,1.43
2015,M,ANTHONY,262,1.31
2016,M,ANTHONY,235,1.22
2017,M,ANTHONY,167,0.97
2018,M,ANTHONY,132,0.79
2019,M,ANTHONY,147,0.91
2008,M,ANTOINE,663,2.78
2009,M,ANTOINE,673,2.84
2010,M,ANTOINE,555,2.44
2011,M,ANTOINE,595,2.67
2012,M,ANTOINE,570,2.55
2013,M,ANTOINE,520,2.4
2014,M,ANTOINE,491,2.39
2015,M,ANTOINE,432,2.16
2016,M,ANTOINE,480,2.49
2017,M,ANTOINE,383,2.22
2018,M,ANTOINE,365,2.19
2019,M,ANTOINE,293,1.82
2008,M,BENJAMIN,404,1.7
2009,M,BENJAMIN,475,2.01
2010,M,BENJAMIN,486,2.14
2011,M,BENJAMIN,433,1.94
2012,M,BENJAMIN,457,2.04
2013,M,BENJAMIN,427,1.97
2014,M,BENJAMIN,465,2.27
2015,M,BENJAMIN,419,2.09
2016,M,BENJAMIN,417,2.16
2017,M,BENJAMIN,363,2.11
2018,M,BENJAMIN,343,2.06
2019,M,BENJAMIN,323,2.01
2008,M,BENOIT,40,0.17
2009,M,BENOIT,43,0.18
2010,M,BENOIT,42,0.18
2011,M,BENOIT,31,0.14
2012,M,BENOIT,39,0.17
2013,M,BENOIT,27,0.12
2014,M,BENOIT,23,0.11
2015,M,BENOIT,40,0.2
2016,M,BENOIT,32,0.17
2017,M,BENOIT,17,0.1
2018,M,BENOIT,23,0.14
2019,M,BENOIT,21,0.13
2008,M,BRANDON,84,0.35
2009,M,BRANDON,97,0.41
2010,M,BRANDON,84,0.37
2011,M,BRANDON,73,0.33
2012,M,BRANDON,70,0.31
2013,M,BRANDON,77,0.36
2014,M,BRANDON,68,0.33
2015,M,BRANDON,88,0.44
2016,M,BRANDON,75,0.39
2017,M,BRANDON,60,0.35
2018,M,BRANDON,49,0.29
2019,M,BRANDON,48,0.3
2008,M,CARL,12,0.05
2009,M,CARL,13,0.05
2010,M,CARL,11,0.05
2011,M,CARL,12,0.05
2012,M,CARL,6,0.03
2013,M,CARL,4,0.02
2014,M,CARL,7,0.03
2015,M,CARL,8,0.04
2016,M,CARL,9,0.05
2017,M,CARL,8,0.05
2018,M,CARL,6,0.04
2019,M,CARL,4,0.02
2008,M,CEDRIC,152,0.64
2009,M,CEDRIC,126,0.53
2010,M,CEDRIC,86,0.38
2011,M,CEDRIC,115,0.52
2012,M,CEDRIC,111,0.5
2013,M,CEDRIC,89,0.41
2014,M,CEDRIC,74,0.36
2015,M,CEDRIC,70,0.35
2016,M,CEDRIC,54,0.28
2017,M,CEDRIC,51,0.3
2018,M,CEDRIC,41,0.25
2019,M,CEDRIC,31,0.19
2008,M,CHARLES,352,1.48
2009,M,CHARLES,379,1.6
2010,M,CHARLES,360,1.58
2011,M,CHARLES,379,1.7
2012,M,CHARLES,394,1.76
2013,M,CHARLES,402,1.86
2014,M,CHARLES,410,2
2015,M,CHARLES,434,2.17
2016,M,CHARLES,387,2.01
2017,M,CHARLES,387,2.24
2018,M,CHARLES,389,2.34
2019,M,CHARLES,414,2.57
2008,M,CHRISTIAN,50,0.21
2009,M,CHRISTIAN,45,0.19
2010,M,CHRISTIAN,41,0.18
2011,M,CHRISTIAN,36,0.16
2012,M,CHRISTIAN,40,0.18
2013,M,CHRISTIAN,41,0.19
2014,M,CHRISTIAN,50,0.24
2015,M,CHRISTIAN,30,0.15
2016,M,CHRISTIAN,43,0.22
2017,M,CHRISTIAN,27,0.16
2018,M,CHRISTIAN,36,0.22
2019,M,CHRISTIAN,29,0.18
2008,M,CHRISTOPHER,165,0.69
2009,M,CHRISTOPHER,138,0.58
2010,M,CHRISTOPHER,116,0.51
2011,M,CHRISTOPHER,94,0.42
2012,M,CHRISTOPHER,96,0.43
2013,M,CHRISTOPHER,89,0.41
2014,M,CHRISTOPHER,66,0.32
2015,M,CHRISTOPHER,72,0.36
2016,M,CHRISTOPHER,80,0.41
2017,M,CHRISTOPHER,48,0.28
2018,M,CHRISTOPHER,54,0.32
2019,M,CHRISTOPHER,34,0.21
2008,M,DANIEL,115,0.48
2009,M,DANIEL,121,0.51
2010,M,DANIEL,117,0.51
2011,M,DANIEL,130,0.58
2012,M,DANIEL,130,0.58
